tenid,region,longitude,latitude
E  0402883 ,Kimberley,124.48300601778533,-17.045664140656033
E  0402884 ,Kimberley,124.6601849310456,-17.099073863812052
E  0402887 ,Kimberley,124.90278235483831,-17.178335127048403
E  0402888 ,Kimberley,124.90833316731502,-17.208333672552474
E  0402890 ,Kimberley,124.60833402746341,-17.00833394090538
E  0402894 ,Kimberley,124.74666983223105,-17.515005116531192
E  0402897 ,Kimberley,123.77318040584503,-18.031887074854087
E  0402899 ,Kimberley,124.86538543467894,-17.543589661824146
E  0402900 ,Kimberley,124.82499797914475,-17.66249896636421
E  0402910 ,Kimberley,123.29006664915126,-19.405429060354034
P  4502967 ,Pilbara,119.61554219085775,-21.44664656106201
E  0402901 ,Kimberley,125.09197901375322,-17.40816954598573
E  0402902 ,Kimberley,125.1661863885469,-17.290689546821984
E  0402903 ,Kimberley,124.84062816306455,-17.119791073919306
E  0402904 ,Kimberley,124.76500278138744,-17.527501083897345
E  0402906 ,Kimberley,125.57222163898645,-16.925000338990678
E  0402907 ,Kimberley,125.90833407426754,-16.541666482226862
E  0402908 ,Kimberley,122.30001591368986,-17.43333688171191
E  0402909 ,Kimberley,123.08055907421608,-17.69351925796095
E  0801646 ,Gascoyne,115.01041635960755,-23.539582720163864
E  0402911 ,Kimberley,124.84167048883427,-17.78333263638272
E  0402912 ,Kimberley,125.28114391859356,-17.349562107106053
E  0402914 ,Kimberley,124.02000029821231,-18.09500139577496
E  0402915 ,Kimberley,124.98289146670594,-14.45043056473195
E  0402916 ,Kimberley,125.63333780524401,-13.941662167973234
E  0402917 ,Kimberley,122.86447777972592,-17.760088252714176
E  0402918 ,Kimberley,124.4625013515111,-16.91250109198306
P  4502968 ,Pilbara,119.56306018088866,-21.337194963905542
E  0402919 ,Kimberley,122.9608992336481,-18.070777504161555
E  0402920 ,Kimberley,122.96987480324368,-17.80192111422583
E  0402921 ,Kimberley,122.9297629676466,-17.8833324627842
E  0802629 ,Pilbara,117.28958287846433,-23.743749517075265
E  0402922 ,Kimberley,122.82149312445907,-17.404821487062478
E  0402923 ,Kimberley,124.79063457630957,-17.293749242782802
E  0402924 ,Kimberley,122.75474507473666,-17.78276808985909
E  0402925 ,Kimberley,122.87500230882293,-17.791668082049352
E  0402926 ,Kimberley,123.58300605987489,-16.253662644763743
P  4502979 ,Pilbara,119.8022406791818,-21.27882523535699
E  0402927 ,Kimberley,124.47339908131985,-17.950402322726077
E  0801051 ,Gascoyne,114.02647586759217,-22.244044669306312
